Star System Name	Galactic Location	Notable Planets	Controlling Factions (SW5e Context)	SW5e Relevance/Lore Notes (Snippet IDs)	Moons	Noteworthy Settlements
Malachor V	Outer Rim	Malachor V	Ancient Sith	Sith battle site , dark side scarred	Unknown	Sith Citadel (ruins)
Rakata Prime	Unknown Regions	Rakata Prime	Rakatan Infinite Empire	Infinite Empire capital , ancient technology	Numerous	The Infinite Empire (ruins)
Tython	Deep Core	Tython	Je'daii Order, Galactic Republic	Je'daii homeworld, early Jedi Temple	Unknown	Je'daii Temple (ruins)
Ossus	Deep Core	Ossus	Jedi Order	Jedi library and academy , devastated by Sith	Unknown	Jedi Library (ruins)
Christophsis	Outer Rim	Christophsis	Galactic Republic, Separatists	Clone Wars battles, crystal structures	None	Christophsis City (various sectors)
Saleucami	Outer Rim	Saleucami	Galactic Republic, Separatists	Republic base (Clone Wars)	Unknown	Republic base (abandoned)
Raxus Prime	Outer Rim	Raxus Prime	Neutral, Separatist holdouts	Junkyard planet , scavengers	Unknown	Scrapyards and settlements (various)
Umbara	Outer Rim	Umbara	Separatists, Galactic Republic	Rich in doonium , dark side presence, Umbarans	Unknown	Umbaran cities (various)
Polis Massa	Outer Rim	Polis Massa (asteroid field)	Neutral	Medical facility , Padmé's birth place	None (asteroid field)	Medical station
Kijimi	Outer Rim	Kijimi	First Order	Thieves' Quarter , cold and mountainous	Unknown	Thieves' Quarter
Exegol	Unknown Regions	Exegol	Sith Eternal	Sith world, Sith Citadel , dark side nexus	Unknown	Sith Citadel
Ajan Kloss	Outer Rim	Ajan Kloss	Resistance	Resistance base	Unknown	Resistance base
Nevarro	Outer Rim	Nevarro	Bounty Hunters' Guild, Galactic Empire, New Republic	Bounty Hunters' Guild , volcanic	Unknown	Nevarro City, cantina
Pasaana	Outer Rim	Pasaana	Aki-Aki, First Order	Aki-Aki festival , desert	Unknown	Aki-Aki village
Cantonica	Outer Rim	Cantonica (Canto Bight)	Wealthy elite	Casino city, rich and powerful	None	Canto Bight
Vjun	Outer Rim	Vjun	Sith	Dark side presence , Sidious's retreat	Unknown	Citadel Vjun
Dantooine	Outer Rim	Dantooine	Galactic Republic, Rebel Alliance	Peaceful plains, Jedi Enclave	Unknown	Khoonda, Jedi Enclave (ruins)
